NO_CURSO
Letras - Português/Alemão e Respetivas Literaturas
Letras - Redação e Revisão de Texto
Música Popular
Música - Regência de Coral
Letras - Português e Literaturas da Lingua Portuguesa
Letras - Tradução/Habilitação Espamhol - Portugês
Letras-Tradução Inglês/Português
Museologia
Ciências Políticas
Engenharia de Pesca e Aquicultura
Engenharia de Produção Agroindustrial
Arqueologia
Ciências da Informação
Fonoaudiologia
Redes de Computadores
Engenharia de Controle e Automação Industrial
Telemática
Design de Interiores
Geoprocessamento
Negócios Imobiliários
Segurança no Trabalho
Agroecologia
Saneamento Ambiental
Aqüicultura
Cafeicultura
Engenharia Metalúrgica
Engenharia Sanitaria e Ambiental
Eletrônica Industrial
Gestão da Produção Industrial
Curso Superior de Tecnologia em Sistemas Eletrônicos (Eixo Tecnológico: Controle e Processo Industriais)
Sistemas Elétricos
Processos Gerenciais
Agrimensura
Curso Superior de Tecnologia em Química Agroindustrial (Área Profissional: Química)
Curso Superior de Tecnologia em Transportes Urbanos
Curso Superior de Tecnologia em Redes de Comunicação
Curso Superior de Tecnologia em Planejamento Turístico
Construção de Vias Terrestres
Eletrotécnica Industrial
Secretariado
Gestão de Recursos Humanos
Laticínios
Ciências da Natureza com Habilitação em Física
Design de Produto
Sistemas Eletrônicos
Sistemas de Energia
Gestão da Tecnologia da Informação
Gestão Hospitalar
Ciências da Natureza com Habilitação em Química
Produção Cultural
Curso Superior de Tecnologia em Química de Produtos Naturais
Ciências Biológicas com Habilitação em Biotecnologia
Engenharia de Produção Civil
Educaçao Física com Habilitação em Formação do Professor de Educação Básica em Nível Superior Licenciatura Plena em Educação Física
Formação do Professor de Educação Básica em Nível Superior Licenciatura Plena em Língua Espanhola e Literatura
Produção de Cachaça
Engenharia Biotecnológica
Química Ambiental
Comunicação Social
Artes
Ciências Farmacêuticas
Arqueologia e Preservação Patrimonial
Agroindústria
Produção de Grãos
Cinema e Audiovisual
Ciências Exatas e Tecnológicas
Interdisciplinar em Saúde
Ciências e Humanidades
 Engenharia de Software
Engenharia Química 
Engenharia de Energias Renováveis e Ambiente
Geofísica
Ciências Exatas
Mineração
Ciência e Tecnologia Agroalimentar
Letras com Habilitação em Língua Portuguesa e Língua Espanhola
Tecnologias da Informação e Comunicação
CIÊNCIAS DE ALIMENTOS
SISTEMA DE INFORMAÇÃO
ENGENHARIA BIOMÉDICA
GESTÃO DA INFORMAÇÃO
SISTEMAS BIOMÉDICOS
CIÊNCIAS HUMANAS
LINGUAGENS E CÓDIGOS
CIÊNCIAS IMOBILIÁRIAS
COMUNICAÇÃO SOCIAL - RADIALISMO
OCEANOGRAFIA
CIÊNCIAS RURAIS
ENGENHARIA DE AQUICULTURA
LETRAS - LÍNGUA E LITERATURA PORTUGUESA
LETRAS - LÍNGUA PORTUGUESA E LÍNGUA INGLESA
ENGENHARIA TÊXTIL
COMPUTAÇÃO E INFORMÁTICA
CIÊNCIA E TECNOLOGIA
ENGENHARIA INDUSTRIAL ELÉTRICA - ELETROTÉCNICA
ENGENHARIA INDUSTRIAL ELÉTRICA - ELETRÔNICA
ENGENHARIA INDUSTRIAL ELÉTRICA - TELECOMUNICAÇÕES
HUMANIDADES
CIÊNCIAS - BIOLOGIA E QUÍMICA
GASTRONOMIA
DESIGN DIGITAL
ANTROPOLOGIA
DANÇA
ENGENHARIA GEOLÓGICA
CONSERVAÇÃO E RESTAURAÇÃO DE BENS CULTURAIS MÓVEIS
ARTES CÊNICAS - CENOGRAFIA
LETRAS - PORTUGUÊS E LITERATURAS
TURISMO E MEIO AMBIENTE
IRRIGAÇÃO E DRENAGEM
ESTRADAS
GESTÃO DESPORTIVA E DE LAZER
ENGENHARIA DE MECATRÔNICA
ENGENHARIA DE MINAS
BIOCOMBUSTÍVEIS
ENGENHARIA
QUÍMICA AGROINDUSTRIAL
TRANSPORTES URBANOS
REDES DE COMUNICAÇÃO
PLANEJAMENTO TURÍSTICO
CIÊNCIAS DA NATUREZA - FÍSICA
CIÊNCIAS DA NATUREZA - QUÍMICA
CIÊNCIAS BIOLÓGICAS - BIOTECNOLOGIA
QUÍMICA DE PRODUTOS NATURAIS
AGROPECUÁRIA
ENGENHARIA DE BIOPROCESSOS E BIOTECNOLOGIA
FRUTICULTURA
ENGENHARIA EM SISTEMAS DIGITAIS
REDES DE COMPUTADORES - REDES DE COMPUTADORES
CIÊNCIA DA COMPUTAÇÃO - COMPUTAÇÃO E INFORMÁTICA
CIÊNCIAS NATURAIS E MATEMÁTICA - MATEMÁTICA
CIÊNCIAS NATURAIS E MATEMÁTICA - QUÍMICA
CIÊNCIAS NATURAIS E MATEMÁTICA - FÍSICA
COMUNICAÇÃO SOCIAL  - RADIALISMO
COMUNICAÇÃO SOCIAL - PUBLICIDADE E PROPAGANDA
SAÚDE COLETIVA
LETRAS - LÍNGUA E LITERATURAS DE LÍNGUA PORTUGUESA
LETRAS - LÍNGUA E LITERATURAS DE LÍNGUA INGLESA
LETRAS - LÍNGUA PORTUGUESA E LITERATURAS DE LÍNGUA PORTUGUESA
LETRAS - LÍNGUA E LITERATURA INGLESA
LETRAS - LÍNGUA E LITERATURA FRANCESA
ENGENHARIA ELÉTRICA - TELECOMUNICAÇÕES - TELECOMUNICAÇÕES
ENGENHARIA ELÉTRICA - ELETROTÉCNICA - ELETROTÉCNICA
ENGENHARIA ELÉTRICA - ELETRÔNICA - ELETRÔNICA
LETRAS - JAPONÊS
MATEMÁTICA APLICADA
LETRAS - PORTUGUÊS E FRANCÊS
LETRAS - LÍNGUA PORTUGUESA
INTERDISCIPLINAR EM CIÊNCIAS NATURAIS
FÍSICA - LICENCIATURA OU BACHARELADO
MATEMÁTICA - LICENCIATURA OU BACHARELADO
BIBLIOTECONOMIA E CIÊNCIA DA INFORMAÇÃO
IMAGEM E SOM
ENGENHARIA FÍSICA
EDUCAÇÃO ESPECIAL
LINGUÍSTICA
GESTÃO E ANÁLISE AMBIENTAL
GERONTOLOGIA
FILOSOFIA - LICENCIATURA OU BACHARELADO
CIÊNCIA E TECNOLOGIA DE LATICÍNIOS
SECRETARIADO EXECUTIVO
EDUCAÇÃO INFANTIL
COMUNICAÇÃO SOCIAL - JORNALISMO - JORNALISMO
COOPERATIVISMO
OCEANOLOGIA
ARTES VISUAIS - LICENCIATURA OU BACHARELADO
LETRAS - PORTUGUÊS E INGLÊS
ENGENHARIA DE COMPUTAÇÃO
LETRAS - PORTUGUÊS E ESPANHOL
ENGENHARIA CIVIL EMPRESARIAL
ENGENHARIA MECÂNICA EMPRESARIAL
ENGENHARIA DE AUTOMAÇÃO
TOXICOLOGIA AMBIENTAL
ENGENHARIA BIOQUÍMICA
ENGENHARIA CIVIL COSTEIRA E PORTUÁRIA
ENGENHARIA MECÂNICA NAVAL
REFRIGERAÇÃO E CLIMATIZAÇÃO
TURISMO BINACIONAL
ENGENHARIA AGROINDUSTRIAL INDÚSTRIAS ALIMENTÍCIAS
ENGENHARIA AGROINDUSTRIAL AGROQUÍMICA
FÍSICA DE MATERIAIS
ANÁLISE DE SISTEMAS
URBANISMO
TURISMO E HOTELARIA
GEOFISICA
ENGENHARIA DE SOFTWARE
LETRAS - LÍNGUA ESTRANGEIRA
PRODUÇÃO CÊNICA
CONSTRUÇÃO DE INSTRUMENTOS MUSICAIS
LETRAS - POLONÊS
LETRAS - ITALIANO
ENGENHARIA CARTOGRÁFICA
GESTÃO DA QUALIDADE
INFORMÁTICA BIOMÉDICA
ENGENHARIA DE RECURSOS HÍDRICOS E DO MEIO AMBIENTE
CIÊNCIA AMBIENTAL
ENGENHARIA DE AGRONEGÓCIOS
LETRAS - LATIM
LETRAS - ALEMÃO
LETRAS - GREGO
CIÊNCIAS ATUARIAIS
BIBLIOTECONOMIA E DOCUMENTAÇÃO
ESTUDOS DE MÍDIA
ECONOMIA DOMÉSTICA - LICENCIATURA OU BACHARELADO
CIÊNCIAS BIOLÓGICAS - LICENCIATURA OU BACHARELADO
QUÍMICA - LICENCIATURA OU BACHARELADO
HISTÓRIA - LICENCIATURA OU BACHARELADO
CIÊNCIAS SOCIAIS - LICENCIATURA OU BACHARELADO
GEOGRAFIA - LICENCIATURA OU BACHARELADO
INTERDISCIPLINAR EM CIÊNCIAS HUMANAS
SECRETARIADO EXECUTIVO BILÍNGUE
ANTROPOLOGIA E CULTURAS INDÍGENAS
ENGENHARIA DE PRODUÇÃO MECÂNICA
CIÊNCIAS DA RELIGIÃO
PEDAGOGIA - PEDAGOGIA
PSICOPEDAGOGIA
LÍNGUAS ESTRANGEIRAS APLICADAS ÀS NEGOCIAÇÕES INTERNACIONAIS
COMUNICAÇÃO EM MÍDIAS DIGITAIS
PRODUÇÃO SUCROALCOOLEIRA
FINANÇAS
LETRAS - PORTUGUÊS E ITALIANO
LETRAS - PORTUGUÊS E ALEMÃO
PUBLICIDADE E PROPAGANDA
ENGENHARIA DE ENERGIAS E MEIO AMBIENTE
MATEMÁTICA INDUSTRIAL
SISTEMAS E MÍDIAS DIGITAIS
ENGENHARIA DE TELEINFORMÁTICA
QUÍMICA - ATRIBUIÇÃO TECNOLÓGICA
ENGENHARIA NAVAL E OCEÂNICA
FÍSICA - FÍSICA MÉDICA
ENGENHARIA DE COMPUTAÇÃO E INFORMAÇÃO
ENGENHARIA ELETRÔNICA E DE COMPUTAÇÃO
LETRAS - PORTUGUÊS E HEBRAICO (LICENCIATURA OU BACHARELADO) - PORTUGUÊS - HEBRAICO
LETRAS - PORTUGUÊS E ALEMÃO (LICENCIATURA OU BACHARELADO) - PORTUGUÊS - ALEMÃO
LETRAS - PORTUGUÊS E ÁRABE (LICENCIATURA OU BACHARELADO) - PORTUGUÊS - ÁRABE
LETRAS - PORTUGUÊS E RUSSO (LICENCIATURA OU BACHARELADO) - PORTUGUÊS - RUSSO
LETRAS - PORTUGUÊS E LITERATURAS DE LÍNGUA PORTUGUESA (LICENCIATURA OU BACHARELADO) - PORTUGUÊS E LITERATURAS DE LÍNGUA PORTUGUESA
LETRAS - PORTUGUÊS E ESPANHOL (LICENCIATURA OU BACHARELADO) - PORTUGUÊS - ESPANHOL
LETRAS - PORTUGUÊS E FRANCÊS (LICENCIATURA OU BACHARELADO) - PORTUGUÊS - FRANCÊS
LETRAS - PORTUGUÊS E GREGO (LICENCIATURA OU BACHARELADO) - PORTUGUÊS - GREGO
LETRAS - PORTUGUÊS E ITALIANO (LICENCIATURA OU BACHARELADO) - PORTUGUÊS - ITALIANO
LETRAS - PORTUGUÊS E INGLÊS (LICENCIATURA OU BACHARELADO) - PORTUGUÊS - INGLÊS
LETRAS - PORTUGUÊS E LATIM (LICENCIATURA OU BACHARELADO) - PORTUGUÊS - LATIM
LETRAS - PORTUGUÊS E JAPONÊS (LICENCIATURA OU BACHARELADO) - PORTUGUÊS - JAPONÊS
CIÊNCIAS BIOLÓGICAS: MODALIDADE MÉDICA
CIÊNCIAS BIOLÓGICAS: BIOFÍSICA
CIÊNCIAS BIOLÓGICAS: MICROBIOLOGIA E IMUNOLOGIA
CIÊNCIAS MATEMÁTICAS E DA TERRA
TEORIA DA DANÇA
NANOTECNOLOGIA
ENGENHARIA NUCLEAR
CONSERVAÇÃO E RESTAURAÇÃO
GESTÃO PÚBLICA PARA O DESENVOLVIMENTO ECONÔMICO E SOCIAL
DEFESA E GESTÃO ESTRATÉGICA INTERNACIONAL
BIBLIOTECONOMIA E GESTÃO DE UNIDADES DE INFORMAÇÃO
LETRAS - PORTUGUÊS E LITERATURAS DE LÍNGUA PORTUGUESA
ENGENHARIA (CICLO BÁSICO)
ASTRONOMIA
CIÊNCIAS BIOLÓGICAS: BIOTECNOLOGIA
LETRAS - INGLÊS- PORTUGUÊS
LETRAS - PORTUGUÊS E INGLÊS - LÍNGUA PORTUGUESA E LÍNGUA INGLESA
MATEMÁTICA COMPUTACIONAL*
INFORMÁTICA E SAÚDE (EXPERIMENTAL)
OFTÁLMICA
ENGENHARIA ELÉTRICA - ELETROTÉCNICA
ENGENHARIA ELETRÔNICA - ELETRÔNICA
ENGENHARIA DE TELECOMUNICAÇÕES - TELECOMUNICAÇÕES
ENGENHARIA DE AUTOMAÇÃO INDUSTRIAL
ENGENHARIA MECÂNICA AERONÁUTICA
ENGENHARIA DE ENERGIA
TECNOLOGIA EM ELETROMECÂNICA
PROCESSOS METALÚRGICOS
ENGENHARIA AMBIENTAL E SANITÁRIA
LETRAS - REDAÇÃO E REVISÃO DE TEXTOS
LETRAS - TRADUÇÃO ESPANHOL - PORTUGUÊS
LETRAS - TRADUÇÃO INGLÊS - PORTUGUÊS
QUÍMICA TECNOLÓGICA
LETRAS - PORTUGUÊS E LITERATURA
TOXICOLOGIA ANALÍTICA
CIÊNCIAS SOCIAIS - ANTROPOLOGIA
ENGENHARIA METALÚRGICA - ENGENHARIA METALÚRGICA E DE MATERIAIS
ARTES CÊNICAS E DANÇA
TRANSPORTE TERRESTRE
REDES DE TELECOMUNICAÇÕES
DESENVOLVIMENTO DE SOFTWARE
PRODUÇÃO PUBLICITÁRIA
LETRAS - ESPANHOL E LITERATURA HISPÂNICA
ENGENHARIA EM ENERGIA
ARTES - TEATRO
"LETRAS - PORTUGUÊS, INGLÊS E RESPECTIVAS LITERATURAS"
ENGENHARIA CARTOGRÁFICA E DE AGRIMENSURA
ARTES CÊNICAS
POLÍMEROS
CONSTRUÇÃO NAVAL
PRODUÇÃO DE FÁRMACOS
LETRAS - LÍNGUA PORTUGUESA E LÍNGUA ESPANHOLA
JORNALISMO - JORNALISMO
PUBLICIDADE E PROPAGANDA - PUBLICIDADE E PROPAGANDA
RELAÇÕES PÚBLICAS
EDUCAÇÃO FÍSICA
COMUNICAÇÃO SOCIAL - JORNALISMO EM MULTIMEIOS
SOCIOLOGIA
INTERDISCIPLINAR EM HUMANIDADES
ANTROPOLOGIA - ANTROPOLOGIA SOCIAL E CULTURAL OU ARQUEOLOGIA
COMÉRCIO EXTERIOR
ADMINISTRAÇÃO EM SISTEMAS E SERVIÇOS DE SAÚDE
AGROPECUÁRIA INTEGRADA
CIÊNCIAS - MATEMÁTICA E FÍSICA
ADMINISTRAÇÃO EM GESTÃO ORGANIZACIONAL
CIÊNCIAS AGRÁRIAS E DO AMBIENTE
CIÊNCIA POLÍTICA
LETRAS - LICENCIATURA OU BACHARELADO
ABI - CIÊNCIAS BIOLÓGICAS
ABI - EDUCAÇÃO FÍSICA
ABI - FÍSICA
ABI - QUÍMICA
ABI - CIÊNCIAS SOCIAIS
ABI - DANÇA
ABI - GEOGRAFIA
ABI - HISTÓRIA
ABI - LETRAS
ABI - MATEMÁTICA
EDUCAÇÃO FÍSICA - LICENCIATURA OU BACHARELADO
ENGENHARIA ELETRÔNICA E DE TELECOMUNICAÇÃO
FÍSICA MÉDICA
ENGENHARIA AERONÁUTICA
GESTÃO EM SAÚDE AMBIENTAL
PSICOLOGIA - FORMAÇÃO DE PSICÓLOGO
ENFERMAGEM - LICENCIATURA OU BACHARELADO
COMUNICAÇÃO SOCIAL - RADIO E TELEVISÃO
LETRAS - LÍNGUA INGLESA E RESPECTIVAS LITERATURAS
LETRAS - LÍNGUA FRANCESA E LITERATURA
LETRAS - LÍNGUA ESPANHOLA E LITERATURA
HISTÓRIA - MEMÓRIA E IMAGEM
EXPRESSÃO GRÁFICA
ABI - FILOSOFIA
ABI - PSICOLOGIA
SEGURANÇA PÚBLICA
INTERDISCIPLINAR EM ARTES E DESIGN
QUÍMICA TECNOLÓGICA E INDUSTRIAL
CIÊNCIA ECONÔMICA
ABI - ANTROPOLOGIA
FARMÁCIA - FARMACÊUTICO
LETRAS - LETRAS CLÁSSICAS (GREGO E LATIM)
PEDAGOGIA - EDUCAÇÃO DO CAMPO
CIÊNCIAS DAS RELIGIÕES
ABI - TURISMO
ABI - ENGENHARIA DE ENERGIAS E MEIO AMBIENTE
ABI - PEDAGOGIA
ABI - ENFERMAGEM
ARTES VISUAIS - DESIGN GRÁFICO
ARTES VISUAIS - ARTES PLÁSTICAS
LETRAS - ESTUDOS LINGUÍSTICOS
LETRAS - ESTUDOS LITERÁRIOS
CIÊNCIAS GEOAMBIENTAIS
LETRAS - LIBRAS
ECOLOGIA E ANÁLISE AMBIENTAL
ABI - LETRAS - PORTUGUÊS - HEBRAICO
ABI - LETRAS PORTUGUÊS - ALEMÃO
ABI - LETRAS - PORTUGUÊS - ARABE
ABI - LETRAS - PORTUGUÊS - RUSSO
ABI - LITERATURAS DE LÍNGUA PORTUGUESA
ABI - LETRAS - PORTUGUÊS - ESPANHOL
ABI - LETRAS - PORTUGUÊS - FRANCES
ABI - LETRAS - PORTUGUÊS - GREGO
ABI - LETRAS - PORTUGUÊS - ITALIANO
ABI - LETRAS - PORTUGUÊS - INGLES
ABI - LETRAS - PORTUGUÊS - LATIM
ABI - LETRAS - PORTUGUÊS - JAPONES
CIÊNCIAS DA COMPUTAÇÃO
INTERDISCIPLINAR EM CIÊNCIA DO MAR
ABI - LETRAS PORTUGUÊS
MARKETING
MÚSICA - CANTO
MÚSICA - FLAUTA TRANSVERSAL
MÚSICA - VIOLINO
MÚSICA - PIANO
MÚSICA - VIOLÃO
MÚSICA - COMPOSIÇÃO
MÚSICA - CIÊNCIAS MUSICAIS
ARTES CÊNICAS - TEORIA DO TEATRO
PORTUGUÊS - LITERATURAS
PORTUGUÊS - FRANCÊS
PORTUGUÊS - INGLÊS
PORTUGUÊS - ESPANHOL
ABI - CIÊNCIAS DA NATUREZA
GESTÃO COMERCIAL
MANUTENÇÃO DE AERONAVES
CONTROLE DE OBRAS
GESTÃO FINANCEIRA
CONSERVAÇÃO E RESTAURO
SILVICULTURA
ADMINISTRAÇÃO RURAL E AGROINDUSTRIAL
DESENVOLVIMENTO RURAL E GESTÃO AGROINDUSTRIAL
ANÁLISE DE SISTEMAS DE INFORMAÇÃO
ENOLOGIA
PRODUÇÃO E POLÍTICA CULTURAL
CIÊNCIAS SOCIAIS - CIÊNCIA POLÍTICA
ENGENHARIA DE ENERGIAS
QUÍMICA - QUÍMICA FORENSE
ENGENHARIA SANITÁRIA
ENGENHARIA ELÉTRICA - TELECOMUNICAÇÕES
ENGENHARIA ELÉTRICA - ELETRÔNICA
CIÊNCIAS DOS MATERIAIS
PEDAGOGIA - EDUCAÇÃO INFANTIL E ANOS INICIAIS DO ENSINO FUNDAMENTAL
QUÍMICA DO PETRÓLEO
GESTÃO EM SISTEMAS E SERVIÇOS DE SAÚDE
TECNOLOGIA DA INFORMAÇÃO
LUTERIA
ENGENHARIA ELÉTRICA - ENERGIA
ENGENHARIA ELÉTRICA - ROBÓTICA E AUTOMAÇÃO INDUSTRIAL
ENGENHARIA ELÉTRICA - SISTEMAS DE POTÊNCIA
ENGENHARIA ELÉTRICA - SISTEMAS ELETRÔNICOS
ENGENHARIA COMPUTACIONAL
ENGENHARIA DE ENERGIAS RENOVÁVEIS
DESIGN - MODA
LETRAS - LINGUÍSTICA
CIÊNCIAS SOCIAIS - POLÍTICAS PÚBLICAS
ENGENHARIA AMBIENTAL E ENERGIAS RENOVÁVEIS
DESIGN DE AMBIENTES
GESTÃO DAS ORGANIZAÇÕES DO TERCEIRO SETOR
"CIÊNCIAS: BIOLOGIA, FÍSICA E QUÍMICA"
"LETRAS - LÍNGUAS ADICIONAIS INGLÊS, ESPANHOL E RESPECTIVAS LITERATURAS"
CIÊNCIAS DA NATUREZA E MATEMÁTICA
PEDAGOGIA - MOVIMENTOS SOCIAIS DO CAMPO
MATEMÁTICA COMPUTACIONAL
CIÊNCIAS HUMANAS - SOCIOLOGIA
CIÊNCIAS NATURAIS - FÍSICA
CIÊNCIAS HUMANAS - GEOGRAFIA
CIÊNCIAS NATURAIS - QUÍMICA
CIÊNCIAS NATURAIS - BIOLOGIA
LINGUAGENS E CÓDIGOS - LÍNGUA PORTUGUESA
LINGUAGENS E CÓDIGOS - MÚSICA
CIÊNCIAS HUMANAS - HISTÓRIA
CIÊNCIAS HUMANAS - FILOSOFIA
LETRAS - LIBRAS/LÍNGUA ESTRANGEIRA
LETRAS - LINGUA ESPANHOLA
GESTÃO DE POLÍTICAS PÚBLICAS
ENGENHARIA DE TRANSPORTES
ABI - ENGENHARIA
GESTÃO DE AGRONEGÓCIOS
GESTÃO DE SAÚDE
ENGENHARIA DE REDES DE COMUNICAÇÕES
LETRAS - TRADUÇÃO INGLÊS
LETRAS - TRADUÇÃO FRANCÊS
LETRAS - PORTUGUÊS DO BRASIL COMO SEGUNDA LÍNGUA
LETRAS LÍNGUA ESTRANGEIRA APLICADA
LETRAS TRADUÇÃO ESPANHOL
COMUNICAÇÃO ORGANIZACIONAL
GESTÃO DE SAÚDE COLETIVA
"TEORIA, CRÍTICA E HISTÓRIA DA ARTE"
ABI - COMUNICAÇÃO SOCIAL
ABI - LETRAS FRANCÊS
ABI - LETRAS INGLÊS
ABI - LETRAS - LÍNGUA PORTUGUESA
COMUNICAÇÃO SOCIAL - AUDIOVISUAL
MATEMÁTICA APLICADA E COMPUTACIONAL
EVENTOS
LETRAS - LÍNGUA PORTUGUESA COM DOMÍNIO DE LIBRAS
ABI - ARTES VISUAIS
ENGENHARIA DE PRODUCAO - HABILITACAO MECANICA
MODA
DESIGN - INDUSTRIAL
ENGENHARIA DE PRODUÇÃO E SISTEMAS
BACHARELADO INTERDISCIPLINAR EM BIOSSISTEMAS
ENGENHARIA INDUSTRIAL
ENGENHARIA NAVAL
LETRAS - LÍNGUA PORTUGUESA E LIBRAS
PRODUÇÃO MULTIMÍDIA
INTERDISCIPLINAR
ABI - LETRAS PORTUGUÊS E ESPANHOL
"LETRAS - PORTUGUÊS, E/OU ALEMÃO, E/OU GREGO, E/OU LATIM"
POLÍTICAS PÚBLICAS
AQUACULTURA
ENGENHARIA AEROESPACIAL
CONTROLADORIA E FINANÇAS
COMUNICAÇÃO SOCIAL - JORNALISMO E RELAÇÕES PÚBLICAS
COMUNICAÇÃO SOCIAL - PUBLICIDADE
CIÊNCIAS SOCIOAMBIENTAIS
RELAÇÕES ECONÔMICAS INTERNACIONAIS
ENGENHARIA DE SISTEMAS
GESTÃO DE SERVIÇOS DE SAÚDE
CIÊNCIAS DO ESTADO
ENGENHARIA DE CONTROLE E AUTOMAÇÃO DE PROCESSOS
LETRAS VERNÁCULAS
SAÚDE
ABI - LETRAS VERNÁCULAS
ABI - LETRAS VERNÁCULAS E LÍNGUA ESTRANGEIRA MODERNA
ABI - LÍNGUA ESTRANGEIRA MODERNA OU CLÁSSICA
ABI - LÍNGUA ESTRANGEIRA
ESTUDO DE GÊNERO E DIVERSIDADE
RADIALISMO
GESTÃO EM SAÚDE
CIÊNCIAS DE COMPUTAÇÃO
INTERDISCIPLINAR EM ENERGIA E SUSTENTABILIDADE
"INTERDISCIPLINAR EM CULTURA, LINGUAGENS E TECNOLOGIAS APLICADAS"
ABI - ARTES CÊNICAS
ANTROPOLOGIA - DIVERSIDADE CULTURAL LATINO-AMERICANA
GEOGRAFIA - TERRITÓRIO E SOCIEDADE NA AMÉRICA LATINA
HISTÓRIA - AMÉRICA LATINA
"CIÊNCIAS DA NATUREZA - BIOLOGIA, FÍSICA E QUÍMICA"
DESENVOLVIMENTO RURAL E SEGURANÇA ALIMENTAR
LETRAS - ARTES E MEDIAÇÃO CULTURAL
CIÊNCIAS BIOLÓGICAS - ECOLOGIA E BIODIVERSIDADE
