published_university,University_name
UNIVERSIDADE FEDERAL DE SÃO PAULO,UNIVERSIDADE FEDERAL DE SÃO PAULO
UNIVERSIDADE FEDERAL DO CARIRI,UNIVERSIDADE FEDERAL DO CARIRI
FACULDADE DE EDUCAÇÃO TECNOLÓGICA DO ESTADO DO RIO DE JANEIRO - FAETERJ,FACULDADE DE EDUCAÇÃO TECNOLÓGICA DO ESTADO DO RIO DE JANEIRO
FUNDAÇÃO UNIVERSIDADE FEDERAL DO TOCANTINS,FUNDAÇÃO UNIVERSIDADE FEDERAL DO TOCANTINS
"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE MATO GROSSO DO SUL","INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE MATO GROSSO DO SUL"
"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DA BAHIA","INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DA BAHIA"
"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE PERNAMBUCO","INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE PERNAMBUCO"
UNIVERSIDADE FEDERAL DE PELOTAS,UNIVERSIDADE FEDERAL DE PELOTAS
FACULDADE DE MEDICINA DE MARÍLIA,FACULDADE DE MEDICINA DE MARÍLIA
UNIVERSIDADE FEDERAL DE JATAÍ,UNIVERSIDADE FEDERAL DE JATAÍ
UNIVERSIDADE FEDERAL DE PERNAMBUCO,UNIVERSIDADE FEDERAL DE PERNAMBUCO
UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL,UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL
FUNDAÇÃO UNIVERSIDADE FEDERAL DO ABC,FUNDAÇÃO UNIVERSIDADE FEDERAL DO ABC
"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA SUL-RIO-GRANDENSE","INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA SUL-RIO-GRANDENSE"
UNIVERSIDADE FEDERAL DE SANTA CATARINA,UNIVERSIDADE FEDERAL DE SANTA CATARINA
FUNDAÇÃO UNIVERSIDADE DO ESTADO DE SANTA CATARINA,FUNDAÇÃO UNIVERSIDADE DO ESTADO DE SANTA CATARINA
UNIVERSIDADE FEDERAL DA FRONTEIRA SUL,UNIVERSIDADE FEDERAL DA FRONTEIRA SUL
UNIVERSIDADE FEDERAL DO OESTE DA BAHIA,UNIVERSIDADE FEDERAL DO OESTE DA BAHIA
"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE RORAIMA","INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE RORAIMA"
UNIVERSIDADE ESTADUAL DO NORTE FLUMINENSE DARCY RIBEIRO,UNIVERSIDADE ESTADUAL DO NORTE FLUMINENSE DARCY RIBEIRO
Universidade Estadual do Norte do Paraná,UNIVERSIDADE ESTADUAL DO NORTE DO PARANÁ
FUNDAÇÃO UNIVERSIDADE FEDERAL DO VALE DO SÃO FRANCISCO,FUNDAÇÃO UNIVERSIDADE FEDERAL DO VALE DO SÃO FRANCISCO
UNIVERSIDADE ESTADUAL DA PARAÍBA,UNIVERSIDADE ESTADUAL DA PARAÍBA
UNIVERSIDADE FEDERAL DO TRIÂNGULO MINEIRO,UNIVERSIDADE FEDERAL DO TRIÂNGULO MINEIRO
Faculdade de Educação Tecnológica do Estado do Rio de Janeiro,FACULDADE DE EDUCAÇÃO TECNOLÓGICA DO ESTADO DO RIO DE JANEIRO
UNIVERSIDADE DA INTEGRAÇÃO INTERNACIONAL DA LUSOFONIA AFRO-BRASILEIRA,UNIVERSIDADE DA INTEGRAÇÃO INTERNACIONAL DA LUSOFONIA AFRO-BRASILEIRA
FACULDADE DE EDUCAÇÃO TECNOLÓGICA DO ESTADO DO RIO DE JANEIRO FERNANDO MOTA,FACULDADE DE EDUCAÇÃO TECNOLÓGICA DO ESTADO DO RIO DE JANEIRO FERNANDO MOTA
CENTRO FEDERAL DE EDUCAÇÃO TECNOLÓGICA CELSO SUCKOW DA FONSECA,CENTRO FEDERAL DE EDUCAÇÃO TECNOLÓGICA CELSO SUCKOW DA FONSECA
UNIVERSIDADE FEDERAL DE MINAS GERAIS,UNIVERSIDADE FEDERAL DE MINAS GERAIS
UNIVERSIDADE FEDERAL DE SÃO JOÃO DEL REI,UNIVERSIDADE FEDERAL DE SÃO JOÃO DEL REI
Universidade Estadual do Paraná,UNIVERSIDADE ESTADUAL DO PARANÁ
"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA  DO AMAZONAS","INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA  DO AMAZONAS"
UNIVERSIDADE ESTADUAL DE CIÊNCIAS DA SAÚDE DE ALAGOAS - UNCISAL,UNIVERSIDADE ESTADUAL DE CIÊNCIAS DA SAÚDE DE ALAGOAS
UNIVERSIDADE ESTADUAL DE MONTES CLAROS,UNIVERSIDADE ESTADUAL DE MONTES CLAROS
ESCOLA NACIONAL DE CIÊNCIAS ESTATÍSTICAS,ESCOLA NACIONAL DE CIÊNCIAS ESTATÍSTICAS
UNIVERSIDADE FEDERAL DE MATO GROSSO,UNIVERSIDADE FEDERAL DE MATO GROSSO
UNIVERSIDADE ESTADUAL DO SUDOESTE DA BAHIA,UNIVERSIDADE ESTADUAL DO SUDOESTE DA BAHIA
UNIVERSIDADE DO ESTADO DO RIO GRANDE DO NORTE,UNIVERSIDADE DO ESTADO DO RIO GRANDE DO NORTE
UNIVERSIDADE DE PERNAMBUCO,UNIVERSIDADE DE PERNAMBUCO
"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE MINAS GERAIS","INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE MINAS GERAIS"
UNIVERSIDADE FEDERAL DO RIO GRANDE,UNIVERSIDADE FEDERAL DO RIO GRANDE
UNIVERSIDADE ESTADUAL DE ALAGOAS - UNEAL,UNIVERSIDADE ESTADUAL DE ALAGOAS
UNIVERSIDADE DO DISTRITO FEDERAL,UNIVERSIDADE DO DISTRITO FEDERAL
"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO MARANHÃO","INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO MARANHÃO"
UNIVERSIDADE FEDERAL DO ESPÍRITO SANTO,UNIVERSIDADE FEDERAL DO ESPÍRITO SANTO
UNIVERSIDADE FEDERAL DA BAHIA,UNIVERSIDADE FEDERAL DA BAHIA
Universidade do Estado de Mato Grosso Carlos Alberto Reyes Maldonado - UNEMAT,UNIVERSIDADE DO ESTADO DE MATO GROSSO CARLOS ALBERTO REYES MALDONADO
"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO SUDESTE DE MINAS GERAIS","INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO SUDESTE DE MINAS GERAIS"
UNIVERSIDADE ESTADUAL DE MARINGÁ,UNIVERSIDADE ESTADUAL DE MARINGÁ
"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SERGIPE","INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SERGIPE"
UNIVERSIDADE ESTADUAL DO OESTE DO PARANÁ,UNIVERSIDADE ESTADUAL DO OESTE DO PARANÁ
UNIVERSIDADE ESTADUAL DO PIAUÍ,UNIVERSIDADE ESTADUAL DO PIAUÍ
UNIVERSIDADE FEDERAL FLUMINENSE,UNIVERSIDADE FEDERAL FLUMINENSE
UNIVERSIDADE FEDERAL DOS VALES DO JEQUITINHONHA E MUCURI,UNIVERSIDADE FEDERAL DOS VALES DO JEQUITINHONHA E MUCURI
"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA  DO TRIÂNGULO MINEIRO","INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA  DO TRIÂNGULO MINEIRO"
